call,slice_b,n_valid,top2_frac
401,0,5235,0.992379
402,0,5235,0.992379
403,0,5235,0.992379
404,0,5235,0.992378
405,0,5235,0.992378
406,0,5235,0.992377
407,0,5235,0.992377
408,0,5235,0.992375
409,0,5235,0.992374
410,0,5235,0.992374
411,0,5235,0.992373
412,0,5235,0.992372
413,0,5235,0.992371
414,0,5235,0.992370
415,0,5235,0.992372
416,0,5235,0.992373
417,0,5235,0.992373
418,0,5235,0.992373
419,0,5235,0.992372
420,0,5235,0.992372
421,0,5235,0.992372
422,0,5235,0.992374
423,0,5235,0.992376
424,0,5235,0.992378
425,0,5235,0.992379
426,0,5235,0.992381
427,0,5235,0.992382
428,0,5235,0.992383
429,0,5235,0.992384
430,0,5235,0.992387
431,0,5235,0.992389
432,0,5235,0.992400
433,0,5235,0.992413
434,0,5235,0.992415
435,0,5235,0.992409
436,0,5235,0.992415
437,0,5235,0.992428
438,0,5235,0.992426
439,0,5235,0.992449
440,0,5235,0.992446
441,0,5235,0.992450
442,0,5235,0.992451
443,0,5235,0.992452
444,0,5235,0.992462
445,0,5235,0.992460
446,0,5235,0.992454
447,0,5235,0.992467
448,0,5235,0.992472
449,0,5235,0.992455
450,0,5235,0.992484
451,0,3870,0.992257
452,0,3870,0.992256
453,0,3870,0.992256
454,0,3870,0.992255
455,0,3870,0.992254
456,0,3870,0.992253
457,0,3870,0.992251
458,0,3870,0.992250
459,0,3870,0.992248
460,0,3870,0.992246
461,0,3870,0.992245
462,0,3870,0.992242
463,0,3870,0.992241
464,0,3870,0.992239
465,0,3870,0.992238
466,0,3870,0.992237
467,0,3870,0.992235
468,0,3870,0.992234
469,0,3870,0.992232
470,0,3870,0.992230
471,0,3870,0.992229
472,0,3870,0.992227
473,0,3870,0.992227
474,0,3870,0.992226
475,0,3870,0.992225
476,0,3870,0.992226
477,0,3870,0.992227
478,0,3870,0.992229
479,0,3870,0.992230
480,0,3870,0.992231
481,0,3870,0.992239
482,0,3870,0.992248
483,0,3870,0.992258
484,0,3870,0.992264
485,0,3870,0.992273
486,0,3870,0.992274
487,0,3870,0.992278
488,0,3870,0.992283
489,0,3870,0.992282
490,0,3870,0.992275
491,0,3870,0.992272
492,0,3870,0.992278
493,0,3870,0.992279
494,0,3870,0.992283
495,0,3870,0.992292
496,0,3870,0.992309
497,0,3870,0.992319
498,0,3870,0.992322
499,0,3870,0.992329
500,0,3870,0.992332
501,0,4317,0.993309
502,0,4317,0.993309
503,0,4317,0.993309
504,0,4317,0.993309
505,0,4317,0.993310
506,0,4317,0.993310
507,0,4317,0.993310
508,0,4317,0.993310
509,0,4317,0.993311
510,0,4317,0.993311
511,0,4317,0.993312
512,0,4317,0.993313
513,0,4317,0.993313
514,0,4317,0.993312
515,0,4317,0.993312
516,0,4317,0.993313
517,0,4317,0.993315
518,0,4317,0.993316
519,0,4317,0.993316
520,0,4317,0.993317
521,0,4317,0.993317
522,0,4317,0.993318
523,0,4317,0.993319
524,0,4317,0.993319
525,0,4317,0.993319
526,0,4317,0.993319
527,0,4317,0.993319
528,0,4317,0.993321
529,0,4317,0.993322
530,0,4317,0.993325
531,0,4317,0.993326
532,0,4317,0.993326
533,0,4317,0.993325
534,0,4317,0.993329
535,0,4317,0.993332
536,0,4317,0.993336
537,0,4317,0.993339
538,0,4317,0.993341
539,0,4317,0.993344
540,0,4317,0.993347
541,0,4317,0.993349
542,0,4317,0.993354
543,0,4317,0.993357
544,0,4317,0.993362
545,0,4317,0.993366
546,0,4317,0.993369
547,0,4317,0.993371
548,0,4317,0.993371
549,0,4317,0.993371
550,0,4317,0.993372
551,0,4081,0.991613
552,0,4081,0.991613
553,0,4081,0.991613
554,0,4081,0.991613
555,0,4081,0.991613
556,0,4081,0.991614
557,0,4081,0.991614
558,0,4081,0.991616
559,0,4081,0.991617
560,0,4081,0.991618
561,0,4081,0.991618
562,0,4081,0.991618
563,0,4081,0.991618
564,0,4081,0.991619
565,0,4081,0.991622
566,0,4081,0.991623
567,0,4081,0.991624
568,0,4081,0.991625
569,0,4081,0.991624
570,0,4081,0.991628
571,0,4081,0.991631
572,0,4081,0.991630
573,0,4081,0.991631
574,0,4081,0.991632
575,0,4081,0.991632
576,0,4081,0.991634
577,0,4081,0.991634
578,0,4081,0.991632
579,0,4081,0.991630
580,0,4081,0.991630
581,0,4081,0.991636
582,0,4081,0.991637
583,0,4081,0.991634
584,0,4081,0.991636
585,0,4081,0.991644
586,0,4081,0.991649
587,0,4081,0.991650
588,0,4081,0.991656
589,0,4081,0.991668
590,0,4081,0.991680
591,0,4081,0.991687
592,0,4081,0.991698
593,0,4081,0.991700
594,0,4081,0.991705
595,0,4081,0.991714
596,0,4081,0.991722
597,0,4081,0.991730
598,0,4081,0.991732
