gen_loss,rec_loss,discriminating,epoch,step,degree,cluster,unique,novel,spectral,degree_degrad,cluster_degrad,spectral_degrad,avg_degrad,dis_loss
,,,21,2815,0.14036566019058228,0.14160317182540894,0.9911110997200012,0.9911110997200012,0.05553654208779335,780.2999267578125,26.839710235595703,42.02745056152344,283.0556945800781,
0.0,0.0008923044078983366,0.0,21,2815,,,,,,,,,,
0.0,0.0008859160006977618,0.0,22,2943,,,,,,,,,,
,,,23,3071,0.14276213943958282,0.142043799161911,1.0,1.0,0.05575263872742653,793.6220703125,26.923227310180664,42.190982818603516,287.5787658691406,
0.0,0.0008845514385029674,0.0,23,3071,,,,,,,,,,
0.0,0.0008864405681379139,0.0,24,3199,,,,,,,,,,
,,,25,3327,0.1396816074848175,0.1330472081899643,1.0,1.0,0.05456799641251564,776.4971923828125,25.217998504638672,41.29450225830078,281.00323486328125,
0.0,0.0008731909329071641,0.0,25,3327,,,,,,,,,,
0.0,0.0008700965554453433,0.0,26,3455,,,,,,,,,,
,,,27,3583,0.13950592279434204,0.13204427063465118,1.0,1.0,0.05401255190372467,775.5205688476562,25.02790069580078,40.874168395996094,280.4742126464844,
0.0,0.0008650572272017598,0.0,27,3583,,,,,,,,,,
0.0,0.0008659146842546761,0.0,28,3711,,,,,,,,,,
,,,29,3839,0.14349712431430817,0.1418808549642563,1.0,1.0,0.05412638187408447,797.7078857421875,26.892343521118164,40.96030807495117,288.5201721191406,
0.0,0.0008581866277381778,0.0,29,3839,,,,,,,,,,
0.0,0.0008528561447747052,0.0,30,3967,,,,,,,,,,
,,,31,4095,0.1368343085050583,0.13505902886390686,1.0,1.0,0.05171161890029907,760.6689453125,25.599323272705078,39.13292694091797,275.13372802734375,
0.0,0.0008495973888784647,0.0,31,4095,,,,,,,,,,
0.0,0.000843766494654119,0.0,32,4223,,,,,,,,,,
,,,33,4351,0.1344728320837021,0.12860709428787231,1.0,1.0,0.04949130117893219,747.5413818359375,24.37641143798828,37.45269775390625,269.7901611328125,
0.0,0.0008440919336862862,0.0,33,4351,,,,,,,,,,
0.0,0.0008435834315605462,0.0,34,4479,,,,,,,,,,
,,,35,4607,0.14137785136699677,0.11599580943584442,1.0,1.0,0.056145645678043365,785.9266967773438,21.986045837402344,42.4883918762207,283.467041015625,
0.0,0.0008622269961051643,0.0,35,4607,,,,,,,,,,
0.0,0.0008565262542106211,0.0,36,4735,,,,,,,,,,
,,,37,4863,0.1335844248533249,0.12161452323198318,1.0,1.0,0.04953070357441902,742.6026611328125,23.051027297973633,37.482513427734375,267.7120666503906,
0.0,0.0008402636158280075,0.0,37,4863,,,,,,,,,,
0.0,0.000838261388707906,0.0,38,4991,,,,,,,,,,
,,,39,5119,0.139483243227005,0.1248563826084137,1.0,1.0,0.05292091518640518,775.3944702148438,23.665494918823242,40.04806900024414,279.7026672363281,
0.0,0.0008370433934032917,0.0,39,5119,,,,,,,,,,
0.0,0.0008357618353329599,0.0,40,5247,,,,,,,,,,
,,,41,5375,0.13452015817165375,0.12403541803359985,0.9953917264938354,0.9953917264938354,0.05164751037955284,747.804443359375,23.5098876953125,39.084415435791016,270.1329040527344,
0.0,0.000834782375022769,0.0,41,5375,,,,,,,,,,
0.0,0.000828831281978637,0.0,42,5503,,,,,,,,,,
